# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-03-09 11:58:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11337190 SAN JOAQUIN R A JERSEY POINT CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11337190
#    DD parameter statistic   Description
#    05   72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	05_72137_00003	05_72137_00003_cd
USGS	11337190	2005-02-11	-608	A
USGS	11337190	2005-02-12	-901	A
USGS	11337190	2005-02-13	-1340	A
USGS	11337190	2005-02-14	-1210	A
USGS	11337190	2005-02-15	-2430	A
USGS	11337190	2005-02-16	-2040	A
USGS	11337190	2005-02-17	-410	A
USGS	11337190	2005-02-18	2120	A
USGS	11337190	2005-02-19	3140	A
USGS	11337190	2005-02-20	3320	A
USGS	11337190	2005-02-21	1090	A
USGS	11337190	2005-02-22	6380	A
USGS	11337190	2005-02-23	13000	A
USGS	11337190	2005-02-24	12400	A
USGS	11337190	2005-02-25	6780	A
USGS	11337190	2005-02-26	4650	A
USGS	11337190	2005-02-27	3800	A
USGS	11337190	2005-02-28	5780	A
USGS	11337190	2005-03-01	3820	A
USGS	11337190	2005-03-02	7480	A
USGS	11337190	2005-03-03	6270	A
USGS	11337190	2005-03-04	7980	A
USGS	11337190	2005-03-05	9180	A
USGS	11337190	2005-03-06	7010	A
USGS	11337190	2005-03-07	6470	A
USGS	11337190	2005-03-08	5940	A
USGS	11337190	2005-03-09	5060	A
USGS	11337190	2005-03-10	5160	A
USGS	11337190	2005-03-11	4290	A
USGS	11337190	2005-03-12	3420	A
USGS	11337190	2005-03-13	6790	A
USGS	11337190	2005-03-14	7420	A
USGS	11337190	2005-03-15	5690	A
USGS	11337190	2005-03-16	5910	A
USGS	11337190	2005-03-17	4190	A
USGS	11337190	2005-03-18	-875	A
USGS	11337190	2005-03-19	-328	A
USGS	11337190	2005-03-20	7970	A
USGS	11337190	2005-03-21	5370	A
USGS	11337190	2005-03-22	2350	A
USGS	11337190	2005-03-23	14500	A
USGS	11337190	2005-03-24	21200	A
USGS	11337190	2005-03-25	25300	A
USGS	11337190	2005-03-26	21000	A
USGS	11337190	2005-03-27	12800	A
USGS	11337190	2005-03-28	19300	A
USGS	11337190	2005-03-29	23900	A
USGS	11337190	2005-03-30	24200	A
USGS	11337190	2005-03-31	18500	A
USGS	11337190	2005-04-01	13400	A
USGS	11337190	2005-04-02	13400	A
USGS	11337190	2005-04-03	16200	A
USGS	11337190	2005-04-04	17000	A
USGS	11337190	2005-04-05	12300	A
USGS	11337190	2005-04-06	8180	A
USGS	11337190	2005-04-07	11000	A
USGS	11337190	2005-04-08	14000	A
USGS	11337190	2005-04-09	16000	A
USGS	11337190	2005-04-10	12300	A
USGS	11337190	2005-04-11	8790	A
USGS	11337190	2005-04-12	9880	A
USGS	11337190	2005-04-13	14400	A
USGS	11337190	2005-04-14	14000	A
USGS	11337190	2005-04-15	9980	A
USGS	11337190	2005-04-16	6100	A
USGS	11337190	2005-04-17	8250	A
USGS	11337190	2005-04-18	9860	A
USGS	11337190	2005-04-19	7120	A
USGS	11337190	2005-04-20	7090	A
USGS	11337190	2005-04-21	6070	A
USGS	11337190	2005-04-22	2850	A
USGS	11337190	2005-04-23	6170	A
USGS	11337190	2005-04-24	9660	A
USGS	11337190	2005-04-25	10300	A
USGS	11337190	2005-04-26	9310	A
USGS	11337190	2005-04-27	8540	A
USGS	11337190	2005-04-28	9970	A
USGS	11337190	2005-04-29	11400	A
USGS	11337190	2005-04-30	10700	A
USGS	11337190	2005-05-01	12500	A
USGS	11337190	2005-05-02	11500	A
USGS	11337190	2005-05-03	11600	A
USGS	11337190	2005-05-04	12100	A
USGS	11337190	2005-05-05	10400	A
USGS	11337190	2005-05-06	12900	A
USGS	11337190	2005-05-07	13100	A
USGS	11337190	2005-05-08	8660	A
USGS	11337190	2005-05-09	11900	A
USGS	11337190	2005-05-21	21100	A
USGS	11337190	2005-05-22	20000	A
USGS	11337190	2005-05-23	20400	A
USGS	11337190	2005-05-24	18300	A
USGS	11337190	2005-05-25	15300	A
USGS	11337190	2005-05-26	19400	A
USGS	11337190	2005-05-27	22800	A
USGS	11337190	2005-05-28	25900	A
USGS	11337190	2005-05-29	21500	A
USGS	11337190	2005-05-30	17400	A
USGS	11337190	2005-05-31	13500	A
USGS	11337190	2005-06-01	14100	A
USGS	11337190	2005-06-02	14300	A
USGS	11337190	2005-06-03	13900	A
USGS	11337190	2005-06-04	10800	A
USGS	11337190	2005-06-05	12200	A
USGS	11337190	2005-06-06	14000	A
USGS	11337190	2005-06-07	12700	A
USGS	11337190	2005-06-08	11100	A
USGS	11337190	2005-06-09	9050	A
USGS	11337190	2005-06-10	8730	A
USGS	11337190	2005-06-11	10700	A
USGS	11337190	2005-06-12	11400	A
USGS	11337190	2005-06-13	7450	A
USGS	11337190	2005-06-14	5320	A
USGS	11337190	2005-06-15	5250	A
USGS	11337190	2005-06-16	3550	A
USGS	11337190	2005-06-17	3340	A
USGS	11337190	2005-06-18	3620	A
USGS	11337190	2005-06-19	4630	A
USGS	11337190	2005-06-20	5140	A
USGS	11337190	2005-06-21	7940	A
USGS	11337190	2005-06-22	11400	A
USGS	11337190	2005-06-23	5720	A
USGS	11337190	2005-06-24	4240	A
USGS	11337190	2005-06-25	6110	A
USGS	11337190	2005-06-26	6980	A
USGS	11337190	2005-06-27	6330	A
USGS	11337190	2005-06-28	3890	A
USGS	11337190	2005-06-29	505	A
USGS	11337190	2005-06-30	-24	A
USGS	11337190	2005-07-01	948	A
USGS	11337190	2005-07-02	2630	A
USGS	11337190	2005-07-03	4600	A
USGS	11337190	2005-07-04	3730	A
USGS	11337190	2005-07-05	4020	A
USGS	11337190	2005-07-06	5180	A
USGS	11337190	2005-07-07	4010	A
USGS	11337190	2005-07-08	3780	A
USGS	11337190	2005-07-09	4360	A
USGS	11337190	2005-07-10	4260	A
USGS	11337190	2005-07-11	4140	A
USGS	11337190	2005-07-12	1980	A
USGS	11337190	2005-07-13	-1310	A
USGS	11337190	2005-07-14	-952	A
USGS	11337190	2005-07-15	-330	A
USGS	11337190	2005-07-16	566	A
USGS	11337190	2005-07-17	-603	A
USGS	11337190	2005-07-18	300	A
USGS	11337190	2005-07-19	3980	A
USGS	11337190	2005-07-20	5250	A
USGS	11337190	2005-07-21	4020	A
USGS	11337190	2005-07-22	6700	A
USGS	11337190	2005-07-23	4670	A
USGS	11337190	2005-07-24	1060	A
USGS	11337190	2005-07-25	2510	A
USGS	11337190	2005-07-26	1870	A
USGS	11337190	2005-07-27	1610	A
USGS	11337190	2005-07-28	1780	A
USGS	11337190	2005-07-29	1990	A
USGS	11337190	2005-07-30	3340	A
USGS	11337190	2005-07-31	3150	A
USGS	11337190	2005-08-01	2730	A
USGS	11337190	2005-08-02	2500	A
USGS	11337190	2005-08-03	2350	A
USGS	11337190	2005-08-04	3840	A
USGS	11337190	2005-08-05	3360	A
USGS	11337190	2005-08-06	2050	A
USGS	11337190	2005-08-07	3410	A
USGS	11337190	2005-08-08	2620	A
USGS	11337190	2005-08-09	3050	A
USGS	11337190	2005-08-10	2810	A
USGS	11337190	2005-08-11	1680	A
USGS	11337190	2005-08-12	-2570	A
USGS	11337190	2005-08-13	-1990	A
USGS	11337190	2005-08-14	881	A
USGS	11337190	2005-08-15	3850	A
USGS	11337190	2005-08-16	2960	A
USGS	11337190	2005-08-17	3620	A
USGS	11337190	2005-08-18	6010	A
USGS	11337190	2005-08-19	7590	A
USGS	11337190	2005-08-20	6200	A
USGS	11337190	2005-08-21	5470	A
USGS	11337190	2005-08-22	4670	A
USGS	11337190	2005-08-23	1750	A
USGS	11337190	2005-08-24	641	A
USGS	11337190	2005-08-25	2540	A
USGS	11337190	2005-08-26	1780	A
USGS	11337190	2005-08-27	1010	A
USGS	11337190	2005-08-28	385	A
USGS	11337190	2005-08-29	4420	A
USGS	11337190	2005-08-30	2620	A
USGS	11337190	2005-08-31	-80	A
USGS	11337190	2005-09-01	1810	A
USGS	11337190	2005-09-02	4110	A
USGS	11337190	2005-09-03	4920	A
USGS	11337190	2005-09-04	3610	A
USGS	11337190	2005-09-05	2070	A
USGS	11337190	2005-09-06	2040	A
USGS	11337190	2005-09-07	2190	A
USGS	11337190	2005-09-08	1270	A
USGS	11337190	2005-09-09	1240	A
USGS	11337190	2005-09-10	1090	A
USGS	11337190	2005-09-11	-129	A
USGS	11337190	2005-09-12	2170	A
USGS	11337190	2005-09-13	3970	A
USGS	11337190	2005-09-14	4780	A
USGS	11337190	2005-09-15	4770	A
USGS	11337190	2005-09-16	4800	A
USGS	11337190	2005-09-17	6060	A
USGS	11337190	2005-09-18	4620	A
USGS	11337190	2005-09-19	2860	A
USGS	11337190	2005-09-20	-448	A
USGS	11337190	2005-09-21	1820	A
USGS	11337190	2005-09-22	896	A
USGS	11337190	2005-09-23	515	A
USGS	11337190	2005-09-24	2590	A
USGS	11337190	2005-09-25	1700	A
USGS	11337190	2005-09-26	1460	A
USGS	11337190	2005-09-27	6020	A
USGS	11337190	2005-09-28	4480	A
USGS	11337190	2005-09-29	1120	A
USGS	11337190	2005-09-30	-1880	A
USGS	11337190	2005-10-01	879	A
USGS	11337190	2005-10-02	5340	A
USGS	11337190	2005-10-03	6630	A
USGS	11337190	2005-10-04	4580	A
USGS	11337190	2005-10-05	-1140	A
USGS	11337190	2005-10-06	-5150	A
USGS	11337190	2005-10-07	-3630	A
USGS	11337190	2005-10-08	2370	A
USGS	11337190	2005-10-09	3480	A
USGS	11337190	2005-10-10	1150	A
USGS	11337190	2005-10-11	976	A
USGS	11337190	2005-10-12	1910	A
USGS	11337190	2005-10-13	1700	A
USGS	11337190	2005-10-14	-102	A
USGS	11337190	2005-10-15	1120	A
USGS	11337190	2005-10-16	-214	A
USGS	11337190	2005-10-17	-2020	A
USGS	11337190	2005-10-18	-783	A
USGS	11337190	2005-10-19	3190	A
USGS	11337190	2005-10-20	1390	A
USGS	11337190	2005-10-21	-923	A
USGS	11337190	2005-10-22	-763	A
USGS	11337190	2005-10-23	2060	A
USGS	11337190	2005-10-24	4840	A
USGS	11337190	2005-10-25	6690	A
USGS	11337190	2005-10-26	2650	A
USGS	11337190	2005-10-27	1420	A
USGS	11337190	2005-10-28	1690	A
USGS	11337190	2005-10-29	2740	A
USGS	11337190	2005-10-30	3160	A
USGS	11337190	2005-10-31	2220	A
USGS	11337190	2005-11-01	-2750	A
USGS	11337190	2005-11-02	-364	A
USGS	11337190	2005-11-03	4490	A
USGS	11337190	2005-11-04	3150	A
USGS	11337190	2005-11-05	3500	A
USGS	11337190	2005-11-06	632	A
USGS	11337190	2005-11-07	501	A
USGS	11337190	2005-11-08	3840	A
USGS	11337190	2005-11-09	1750	A
USGS	11337190	2005-11-10	4220	A
USGS	11337190	2005-11-11	4440	A
USGS	11337190	2005-11-12	3720	A
USGS	11337190	2005-11-13	1610	A
USGS	11337190	2005-11-14	-1880	A
USGS	11337190	2005-11-15	-3320	A
USGS	11337190	2005-11-16	-2210	A
USGS	11337190	2005-11-17	-271	A
USGS	11337190	2005-11-18	1820	A
USGS	11337190	2005-11-19	1630	A
USGS	11337190	2005-11-20	2660	A
USGS	11337190	2005-11-21	2800	A
USGS	11337190	2005-11-22	3100	A
USGS	11337190	2005-11-23	3200	A
USGS	11337190	2005-11-24	2430	A
USGS	11337190	2005-11-25	1160	A
USGS	11337190	2005-11-26	4690	A
USGS	11337190	2005-11-27	2810	A
USGS	11337190	2005-11-28	492	A
USGS	11337190	2005-11-29	154	A
USGS	11337190	2005-11-30	2520	A
USGS	11337190	2005-12-01	-1480	A
USGS	11337190	2005-12-02	11100	A
USGS	11337190	2005-12-03	8080	A
USGS	11337190	2005-12-04	5830	A
USGS	11337190	2005-12-05	4660	A
USGS	11337190	2005-12-06	2710	A
USGS	11337190	2005-12-07	2240	A
USGS	11337190	2005-12-08	1370	A
USGS	11337190	2005-12-09	-1480	A
USGS	11337190	2005-12-10	-3850	A
USGS	11337190	2005-12-11	-3860	A
USGS	11337190	2005-12-12	-3300	A
USGS	11337190	2005-12-13	-2190	A
USGS	11337190	2005-12-14	-1460	A
USGS	11337190	2005-12-15	-1220	A
USGS	11337190	2005-12-16	-55	A
USGS	11337190	2005-12-17	-3530	A
USGS	11337190	2005-12-18	-6360	A
USGS	11337190	2005-12-19	5780	A
USGS	11337190	2005-12-20	4000	A
USGS	11337190	2005-12-21	1240	A
USGS	11337190	2005-12-22	4100	A
USGS	11337190	2005-12-23	6930	A
USGS	11337190	2005-12-24	3700	A
USGS	11337190	2005-12-25	2930	A
USGS	11337190	2005-12-26	9470	A
USGS	11337190	2005-12-27	10600	A
USGS	11337190	2005-12-28	13900	A
USGS	11337190	2005-12-29	20400	A
USGS	11337190	2006-01-04	78100	A
USGS	11337190	2006-01-05	71100	A
USGS	11337190	2006-01-06	62000	A
USGS	11337190	2006-01-07	56100	A
USGS	11337190	2006-01-08	50000	A
USGS	11337190	2006-01-09	44000	A
USGS	11337190	2006-01-10	38500	A
USGS	11337190	2006-01-11	34100	A
USGS	11337190	2006-01-12	35100	A
USGS	11337190	2006-01-13	29600	A
USGS	11337190	2006-01-14	28800	A
USGS	11337190	2006-01-15	36100	A
USGS	11337190	2006-01-16	31900	A
USGS	11337190	2006-01-17	26700	A
USGS	11337190	2006-01-18	25600	A
USGS	11337190	2006-01-19	28700	A
USGS	11337190	2006-01-20	24400	A
USGS	11337190	2006-01-21	21300	A
USGS	11337190	2006-01-22	19800	A
USGS	11337190	2006-01-23	15800	A
USGS	11337190	2006-01-24	12500	A
USGS	11337190	2006-01-25	13200	A
USGS	11337190	2006-01-26	15200	A
USGS	11337190	2006-01-27	12200	A
USGS	11337190	2006-01-28	11700	A
USGS	11337190	2006-01-29	13500	A
USGS	11337190	2006-02-04	15000	A
USGS	11337190	2006-02-05	12800	A
USGS	11337190	2006-02-06	11700	A
USGS	11337190	2006-02-07	13900	A
USGS	11337190	2006-02-08	16300	A
USGS	11337190	2006-02-09	15600	A
USGS	11337190	2006-02-10	16800	A
USGS	11337190	2006-02-11	17200	A
USGS	11337190	2006-02-12	15200	A
USGS	11337190	2006-02-13	12100	A
USGS	11337190	2006-02-14	10200	A
USGS	11337190	2006-02-15	13800	A
USGS	11337190	2006-02-16	8500	A
USGS	11337190	2006-02-17	4280	A
USGS	11337190	2006-02-18	5180	A
USGS	11337190	2006-02-19	6710	A
USGS	11337190	2006-02-20	6200	A
USGS	11337190	2006-02-21	4080	A
USGS	11337190	2006-02-22	3270	A
USGS	11337190	2006-02-23	2320	A
USGS	11337190	2006-02-24	1080	A
USGS	11337190	2006-02-25	1610	A
USGS	11337190	2006-02-26	145	A
USGS	11337190	2006-02-27	-1340	A
USGS	11337190	2006-02-28	11700	A
USGS	11337190	2006-03-01	13300	A
USGS	11337190	2006-03-02	12900	A
USGS	11337190	2006-03-03	16500	A
USGS	11337190	2006-03-04	19500	A
USGS	11337190	2006-03-05	21300	A
USGS	11337190	2006-03-06	26000	A
USGS	11337190	2006-03-07	29200	A
USGS	11337190	2006-03-08	29300	A
USGS	11337190	2006-03-09	27300	A
USGS	11337190	2006-03-10	30500	A
USGS	11337190	2006-03-11	29400	A
USGS	11337190	2006-03-12	28400	A
USGS	11337190	2006-03-13	24400	A
USGS	11337190	2006-03-14	21900	A
USGS	11337190	2006-03-15	24000	A
USGS	11337190	2006-03-16	22200	A
USGS	11337190	2006-03-17	24600	A
USGS	11337190	2006-03-18	27500	A
USGS	11337190	2006-03-19	25100	A
USGS	11337190	2006-03-20	23200	A
USGS	11337190	2006-03-21	21900	A
USGS	11337190	2006-03-22	20300	A
USGS	11337190	2006-03-23	17900	A
USGS	11337190	2006-03-24	14200	A
USGS	11337190	2006-03-25	19400	A
USGS	11337190	2006-03-26	25800	A
USGS	11337190	2006-03-27	21000	A
USGS	11337190	2006-03-28	24100	A
USGS	11337190	2006-03-29	29900	A
USGS	11337190	2006-03-30	27900	A
USGS	11337190	2006-03-31	26800	A
USGS	11337190	2006-04-01	32400	A
USGS	11337190	2006-04-02	31400	A
USGS	11337190	2006-04-03	34500	A
USGS	11337190	2006-04-04	44600	A
USGS	11337190	2006-04-05	60700	A
USGS	11337190	2006-04-06	66800	A
USGS	11337190	2006-04-07	59000	A
USGS	11337190	2006-04-08	58000	A
USGS	11337190	2006-04-09	53500	A
USGS	11337190	2006-04-10	50700	A
USGS	11337190	2006-04-11	48400	A
USGS	11337190	2006-04-12	52600	A
USGS	11337190	2006-04-13	51100	A
USGS	11337190	2006-04-14	47400	A
USGS	11337190	2006-04-15	50900	A
USGS	11337190	2006-04-16	55200	A
USGS	11337190	2006-04-17	58900	A
USGS	11337190	2006-04-18	51100	A
USGS	11337190	2006-04-19	44300	A
USGS	11337190	2006-04-20	38400	A
USGS	11337190	2006-04-21	38300	A
USGS	11337190	2006-04-22	39100	A
USGS	11337190	2006-04-23	43600	A
USGS	11337190	2006-04-24	44500	A
USGS	11337190	2006-04-25	41800	A
USGS	11337190	2006-04-26	40800	A
USGS	11337190	2006-04-27	37300	A
USGS	11337190	2006-04-28	36200	A
USGS	11337190	2006-04-29	40700	A
USGS	11337190	2006-04-30	39700	A
USGS	11337190	2006-05-01	37400	A
USGS	11337190	2006-05-02	35700	A
USGS	11337190	2006-05-03	36700	A
USGS	11337190	2006-05-04	36700	A
USGS	11337190	2006-05-05	37000	A
USGS	11337190	2006-05-06	32900	A
USGS	11337190	2006-05-07	29400	A
USGS	11337190	2006-05-08	30100	A
USGS	11337190	2006-05-09	29500	A
USGS	11337190	2006-05-10	27600	A
USGS	11337190	2006-05-11	27400	A
USGS	11337190	2006-05-12	29800	A
USGS	11337190	2006-05-13	30200	A
USGS	11337190	2006-05-14	27600	A
USGS	11337190	2006-05-15	23300	A
USGS	11337190	2006-05-16	30200	A
USGS	11337190	2006-05-17	30000	A
USGS	11337190	2006-05-18	27700	A
USGS	11337190	2006-05-19	29100	A
USGS	11337190	2006-05-20	26200	A
USGS	11337190	2006-05-21	22900	A
USGS	11337190	2006-05-22	23600	A
USGS	11337190	2006-05-23	26600	A
USGS	11337190	2006-05-24	26400	A
USGS	11337190	2006-05-25	24800	A
USGS	11337190	2006-05-26	25000	A
USGS	11337190	2006-05-27	29800	A
USGS	11337190	2006-05-28	28200	A
USGS	11337190	2006-05-29	25900	A
USGS	11337190	2006-05-30	24200	A
USGS	11337190	2006-05-31	22300	A
USGS	11337190	2006-06-01	21100	A
USGS	11337190	2006-06-02	19700	A
USGS	11337190	2006-06-03	15800	A
USGS	11337190	2006-06-04	14500	A
USGS	11337190	2006-06-05	14900	A
USGS	11337190	2006-06-06	14600	A
USGS	11337190	2006-06-07	13600	A
USGS	11337190	2006-06-08	14700	A
USGS	11337190	2006-06-09	13800	A
USGS	11337190	2006-06-10	12400	A
USGS	11337190	2006-06-11	13300	A
USGS	11337190	2006-06-12	20000	A
USGS	11337190	2006-06-13	21400	A
USGS	11337190	2006-06-14	18400	A
USGS	11337190	2006-06-15	19600	A
USGS	11337190	2006-06-16	20700	A
USGS	11337190	2006-06-17	18300	A
USGS	11337190	2006-06-18	14700	A
USGS	11337190	2006-06-19	14200	A
USGS	11337190	2006-06-20	13600	A
USGS	11337190	2006-06-21	9550	A
USGS	11337190	2006-06-22	5170	A
USGS	11337190	2006-06-23	5540	A
USGS	11337190	2006-06-24	9480	A
USGS	11337190	2006-06-25	11400	A
USGS	11337190	2006-06-26	12100	A
USGS	11337190	2006-06-27	12300	A
USGS	11337190	2006-06-28	13500	A
USGS	11337190	2006-06-29	15100	A
USGS	11337190	2006-06-30	15700	A
USGS	11337190	2006-07-01	13100	A
USGS	11337190	2006-07-02	10300	A
USGS	11337190	2006-07-03	7410	A
USGS	11337190	2006-07-04	3550	A
USGS	11337190	2006-07-05	846	A
USGS	11337190	2006-07-06	2710	A
USGS	11337190	2006-07-07	2920	A
USGS	11337190	2006-07-08	351	A
USGS	11337190	2006-07-09	822	A
USGS	11337190	2006-07-10	4430	A
USGS	11337190	2006-07-11	6480	A
USGS	11337190	2006-07-12	7250	A
USGS	11337190	2006-07-13	6170	A
USGS	11337190	2006-07-14	4930	A
USGS	11337190	2006-07-15	5340	A
USGS	11337190	2006-07-16	4320	A
USGS	11337190	2006-07-17	1120	A
USGS	11337190	2006-07-18	-571	A
USGS	11337190	2006-07-19	1260	A
USGS	11337190	2006-07-20	1980	A
USGS	11337190	2006-07-21	523	A
USGS	11337190	2006-07-22	-412	A
USGS	11337190	2006-07-23	-212	A
USGS	11337190	2006-07-24	1170	A
USGS	11337190	2006-07-25	1470	A
USGS	11337190	2006-07-26	3300	A
USGS	11337190	2006-07-27	4300	A
USGS	11337190	2006-07-28	3340	A
USGS	11337190	2006-07-29	3970	A
USGS	11337190	2006-07-30	5100	A
USGS	11337190	2006-07-31	3500	A
USGS	11337190	2006-08-01	725	A
USGS	11337190	2006-08-02	-3290	A
USGS	11337190	2006-08-03	-3690	A
USGS	11337190	2006-08-04	-657	A
USGS	11337190	2006-08-05	3820	A
USGS	11337190	2006-08-06	3840	A
USGS	11337190	2006-08-07	7200	A
USGS	11337190	2006-08-08	6630	A
USGS	11337190	2006-08-09	591	A
USGS	11337190	2006-08-10	-483	A
USGS	11337190	2006-08-11	2670	A
USGS	11337190	2006-08-12	3110	A
USGS	11337190	2006-08-13	2240	A
USGS	11337190	2006-08-14	2390	A
USGS	11337190	2006-08-15	1360	A
USGS	11337190	2006-08-16	179	A
USGS	11337190	2006-08-17	176	A
USGS	11337190	2006-08-18	1300	A
USGS	11337190	2006-08-19	2950	A
USGS	11337190	2006-08-20	4500	A
USGS	11337190	2006-08-21	7030	A
USGS	11337190	2006-08-22	5390	A
USGS	11337190	2006-08-23	3370	A
USGS	11337190	2006-08-24	3060	A
USGS	11337190	2006-08-25	4340	A
USGS	11337190	2006-08-26	4850	A
USGS	11337190	2006-08-27	4630	A
USGS	11337190	2006-08-28	2720	A
USGS	11337190	2006-08-29	830	A
USGS	11337190	2006-08-30	-1480	A
USGS	11337190	2006-08-31	-2850	A
USGS	11337190	2006-09-01	-645	A
USGS	11337190	2006-09-02	2790	A
USGS	11337190	2006-09-03	5490	A
USGS	11337190	2006-09-04	6470	A
USGS	11337190	2006-09-05	5290	A
USGS	11337190	2006-09-06	2850	A
USGS	11337190	2006-09-07	1210	A
USGS	11337190	2006-09-08	2070	A
USGS	11337190	2006-09-09	3830	A
USGS	11337190	2006-09-10	3180	A
USGS	11337190	2006-09-11	655	A
USGS	11337190	2006-09-12	-1000	A
USGS	11337190	2006-09-13	-1550	A
USGS	11337190	2006-09-14	1520	A
USGS	11337190	2006-09-15	6040	A
USGS	11337190	2006-09-16	5570	A
USGS	11337190	2006-09-17	2210	A
USGS	11337190	2006-09-18	915	A
USGS	11337190	2006-09-19	2380	A
USGS	11337190	2006-09-20	2750	A
USGS	11337190	2006-09-21	179	A
USGS	11337190	2006-09-22	-584	A
USGS	11337190	2006-09-23	1100	A
USGS	11337190	2006-09-24	573	A
USGS	11337190	2006-09-25	-803	A
USGS	11337190	2006-09-26	-573	A
USGS	11337190	2006-09-27	2040	A
USGS	11337190	2006-09-28	3170	A
USGS	11337190	2006-09-29	1900	A
USGS	11337190	2006-09-30	5050	A
USGS	11337190	2012-03-09	-270	P
USGS	11337190	2012-03-10	-3520	P
USGS	11337190	2012-03-11	-449	P
USGS	11337190	2012-03-12	1260	P
USGS	11337190	2012-03-13	4250	P
USGS	11337190	2012-03-14	9840	P
USGS	11337190	2012-03-15	6960	P
USGS	11337190	2012-03-16	6890	P
USGS	11337190	2012-03-17	5000	P
USGS	11337190	2012-03-18	8920	P
USGS	11337190	2012-03-19	19200	P
USGS	11337190	2012-03-20	14300	P
USGS	11337190	2012-03-21	5740	P
USGS	11337190	2012-03-22	1720	P
USGS	11337190	2012-03-23	3540	P
USGS	11337190	2012-03-24	1770	P
USGS	11337190	2012-03-25	4750	P
USGS	11337190	2012-03-26	3380	P
USGS	11337190	2012-03-27	1200	P
USGS	11337190	2012-03-28	7310	P
USGS	11337190	2012-03-29	5380	P
USGS	11337190	2012-03-30	2030	P
USGS	11337190	2012-03-31	5360	P
USGS	11337190	2012-04-01	14400	P
USGS	11337190	2012-04-02	6620	P
USGS	11337190	2012-04-03	1820	P
USGS	11337190	2012-04-04	5540	P
USGS	11337190	2012-04-05	9200	P
USGS	11337190	2012-04-06	7010	P
USGS	11337190	2012-04-07	4030	P
